,Temp,logg,[Fe/H],Alpha,Band,Resolution,vsini,Sampling,Quality,Cond. 1,Cond. 2,Cond. 3,correct flag
6468,2300,4.5,0.0,0.0,J,100000,1.0,3.0,13646.0,1.9,5.0,2.0,0
6471,2300,4.5,0.0,0.0,H,100000,1.0,3.0,12496.0,2.0,3.9,2.1,0
6474,2300,4.5,0.0,0.0,K,100000,1.0,3.0,15268.0,2.2,6.4,2.4,0
6477,2300,4.5,0.0,0.0,Y,100000,1.0,3.0,22254.0,1.8,2.6,1.8,0
6525,2300,4.5,0.5,0.0,Z,100000,1.0,3.0,32405.0,1.7,4.8,1.8,0
6528,2300,4.5,0.5,0.0,J,100000,1.0,3.0,14311.0,1.8,5.2,2.0,0
6531,2300,4.5,0.5,0.0,H,100000,1.0,3.0,15399.0,1.7,3.4,1.8,0
6534,2300,4.5,0.5,0.0,K,100000,1.0,3.0,17113.0,2.0,6.1,2.1,0
6537,2300,4.5,0.5,0.0,Y,100000,1.0,3.0,21321.0,1.8,2.5,1.9,0
6585,2300,4.5,1.0,0.0,Z,100000,1.0,3.0,29995.0,1.9,5.6,2.0,0
6588,2300,4.5,1.0,0.0,J,100000,1.0,3.0,15310.0,1.8,5.0,1.9,0
6591,2300,4.5,1.0,0.0,H,100000,1.0,3.0,16982.0,1.6,3.2,1.7,0
6594,2300,4.5,1.0,0.0,K,100000,1.0,3.0,18178.0,1.9,6.1,2.1,0
6597,2300,4.5,1.0,0.0,Y,100000,1.0,3.0,21325.0,1.8,2.4,1.9,0
